	origin_source_name	origin_entity_id	tamr_id	address	DOB	billingNumber	customerID	email	firstName	lastName	name	phoneNum	city	gender	state	zip	streetAddress	last_purchase_date	sales	phone_number_extracted	state_descriptive	accountDate
0	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
1	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
2	U	1	-	65 Warbler Pass, Indianapolis, IN 46216	04/10/1991	5602245135552433152	1019180	aberry3j@gravatar.com	Allen	Berry	Allen Berry	1-(317)205-1272	Indianapolis	Male	IN	46216	65 Warbler Pass		456.63	13172051272		01/03/2014
3	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
4	U	1	-	65 Warbler Pass, Indianapolis, IN 46216	04/10/1991	5602245135552433152	1019180	aberry3j@gravatar.com	Allen	Berry	Allen Berry	1-(317)205-1272	Indianapolis	Male	IN	46216	65 Warbler Pass		456.63	13172051272		01/03/2014
5	U	2	-	65 Warblr Pas, Indianapolis, IN 46216			2793		Allyn	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		602.48			
6	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
7	U	1	-	65 Warbler Pass, Indianapolis, IN 46216	04/10/1991	5602245135552433152	1019180	aberry3j@gravatar.com	Allen	Berry	Allen Berry	1-(317)205-1272	Indianapolis	Male	IN	46216	65 Warbler Pass		456.63	13172051272		01/03/2014
8	U	2	-	65 Warblr Pas, Indianapolis, IN 46216			2793		Allyn	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		602.48			
9	U	2	-	65 Warbler Pass, Indianapolis, IN 46216			2784		Alyn	Berry	Alyn Berry	1-(317)205-1272	Indianapolis		IN	46216	65 Warbler Pass		300.65	13172051272		
10	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
11	U	1	-	65 Warbler Pass, Indianapolis, IN 46216	04/10/1991	5602245135552433152	1019180	aberry3j@gravatar.com	Allen	Berry	Allen Berry	1-(317)205-1272	Indianapolis	Male	IN	46216	65 Warbler Pass		456.63	13172051272		01/03/2014
12	U	2	-	65 Warblr Pas, Indianapolis, IN 46216			2793		Allyn	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		602.48			
13	U	2	-	65 Warbler Pass, Indianapolis, IN 46216			2784		Alyn	Berry	Alyn Berry	1-(317)205-1272	Indianapolis		IN	46216	65 Warbler Pass		300.65	13172051272		
14	U	2	-	65 Warblr Pas, Indianapolis, IN 46216			2777		Allyn	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		322.29			
15	G	2	-	65 Warblr Pas, Indianapolis, IN 46216	4/10/91		2777	a.berry@hotmail.com	Allyn 	Berry	Allyn Berry		Indianapolis		IN	46216	65 Warbler Pass		476.35			
