origin_source_name,origin_entity_id,tamr_id,Credentials,HCPCS_CODE,HCPCS_DESCRIPTION,GroupNPI,NPPES_Entity_Type,NPPES_NPI,TaxID,VendorName,Vendor_Street_Address,Provider_First_Name,Provider_Last_Name,Provider_Full_Name,VendorState,VendorZip,Provider_Street_Address_Line1,Provider_Street_Address_Line2,Provider_Type,Provider_Mailing_State,Provider_Mailing_Postal_Code,Provider_Mailing_City,Provider_Gender,Provider_Taxonomy_Code,Provider_Speciality_Type,NPPES_Provider_Organization_Name,Enrollment Status Effective Date,Payment,Last Update Date,VendorCity,Provider_Practice_Location_Address,Provider_Practice_Location_City_State,Networks,NPPES_Reference_NPI,NPPES_Reference_Entity_Type,NPPES_Reference_Provider_Last_Name,NPPES_Reference_Provider_First_Name,Provider Enumeration Date,NPPES_Reference_Mailing_Address,NPPES_Reference_Mailing_City,NPPES_Reference_Mailing_Postal_Code,NPPES_Practice_Location_Address,NPPES_Practice_Location_City,NPPES_Practice_Location_Postal_Code,NPPES_Practice_Location_State,NPPES_Reference_Mailing_State,NPPES_Provider_Enumeration_Date,NPPES_Last_Updated_Date,NPPES_Deactivated_Date,NPPES_Provider_Gender_Code,NPPES_Provider_Taxonomy_Code
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,455.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,331.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,254.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,378.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,256.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,541.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,508.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,571.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,518.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
P,4,-,MD,B4034,Enteral and Parenteral Therapy,0123456A,,1013972538,,,,AZHAR,SHEIKH,AZHAR SHEIKH,,,"796, Main,St",,,MA,1720,Acton,M,,INTERNAL MEDICINE,,01/12/09,309.0,,,,,,1013972538,1,SHEIKH,AZHAR,,1060 WILLIAM WAY NW,CLEVELAND,373124369,1060 WILLIAM WAY NW,CLEVELAND,373124369,TN,TN,04/18/2006,05/02/2016,,M,207R00000X
